Year_of_Death,County_of_Residence,Age,Race_Ethnicity,Total_Deaths_ethnicity
2021,Modoc,20 - 24 years,White,0
2021,Modoc,20 - 24 years,Asian,0
2021,Modoc,20 - 24 years,Black/African-American,0
2021,Modoc,20 - 24 years,Multi-Race,0
2021,Modoc,20 - 24 years,Native American/Alaskan Native,0
2021,Modoc,20 - 24 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,20 - 24 years,Other/Unknown,0
2021,Modoc,25 - 29 years,Hispanic,0
2021,Modoc,25 - 29 years,White,0
2021,Modoc,25 - 29 years,Asian,0
2021,Modoc,25 - 29 years,Black/African-American,0
2021,Modoc,25 - 29 years,Multi-Race,0
2021,Modoc,25 - 29 years,Native American/Alaskan Native,0
2021,Modoc,25 - 29 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,25 - 29 years,Other/Unknown,0
2021,Modoc,30 - 34 years,Hispanic,0
2021,Modoc,30 - 34 years,White,6
2021,Modoc,30 - 34 years,Asian,0
2021,Modoc,30 - 34 years,Black/African-American,0
2021,Modoc,30 - 34 years,Multi-Race,0
2021,Modoc,30 - 34 years,Native American/Alaskan Native,0
2021,Modoc,30 - 34 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,30 - 34 years,Other/Unknown,0
2021,Modoc,35 - 39 years,Hispanic,0
2021,Modoc,35 - 39 years,White,0
2021,Modoc,35 - 39 years,Asian,0
2021,Modoc,35 - 39 years,Black/African-American,0
2021,Modoc,35 - 39 years,Multi-Race,0
2021,Modoc,35 - 39 years,Native American/Alaskan Native,6
2021,Modoc,35 - 39 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,35 - 39 years,Other/Unknown,0
2021,Modoc,40 - 44 years,Hispanic,0
2021,Modoc,40 - 44 years,White,6
2021,Modoc,40 - 44 years,Asian,0
2021,Modoc,40 - 44 years,Black/African-American,0
2021,Modoc,40 - 44 years,Multi-Race,0
2021,Modoc,40 - 44 years,Native American/Alaskan Native,0
2021,Modoc,40 - 44 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,40 - 44 years,Other/Unknown,0
2021,Modoc,45 - 49 years,Hispanic,0
2021,Modoc,45 - 49 years,White,0
2021,Modoc,45 - 49 years,Asian,0
2021,Modoc,45 - 49 years,Black/African-American,0
2021,Modoc,45 - 49 years,Multi-Race,0
2021,Modoc,45 - 49 years,Native American/Alaskan Native,0
2021,Modoc,45 - 49 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,45 - 49 years,Other/Unknown,0
2021,Modoc,50 - 54 years,Hispanic,0
2021,Modoc,50 - 54 years,White,6
2021,Modoc,50 - 54 years,Asian,0
2021,Modoc,50 - 54 years,Black/African-American,0
2021,Modoc,50 - 54 years,Multi-Race,0
2021,Modoc,50 - 54 years,Native American/Alaskan Native,0
2021,Modoc,50 - 54 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,50 - 54 years,Other/Unknown,0
2021,Modoc,55 - 59 years,Hispanic,6
2021,Modoc,55 - 59 years,White,0
2021,Modoc,55 - 59 years,Asian,6
2021,Modoc,55 - 59 years,Black/African-American,0
2021,Modoc,55 - 59 years,Multi-Race,0
2021,Modoc,55 - 59 years,Native American/Alaskan Native,0
2021,Modoc,55 - 59 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,55 - 59 years,Other/Unknown,0
2021,Modoc,60 - 64 years,Hispanic,0
2021,Modoc,60 - 64 years,White,6
2021,Modoc,60 - 64 years,Asian,0
2021,Modoc,60 - 64 years,Black/African-American,0
2021,Modoc,60 - 64 years,Multi-Race,0
2021,Modoc,60 - 64 years,Native American/Alaskan Native,0
2021,Modoc,60 - 64 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,60 - 64 years,Other/Unknown,0
2021,Modoc,65 - 69 years,Hispanic,6
2021,Modoc,65 - 69 years,White,6
2021,Modoc,65 - 69 years,Asian,0
2021,Modoc,65 - 69 years,Black/African-American,0
2021,Modoc,65 - 69 years,Multi-Race,0
2021,Modoc,65 - 69 years,Native American/Alaskan Native,0
2021,Modoc,65 - 69 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,65 - 69 years,Other/Unknown,0
2021,Modoc,70 - 74 years,Hispanic,6
2021,Modoc,70 - 74 years,White,6
2021,Modoc,70 - 74 years,Asian,0
2021,Modoc,70 - 74 years,Black/African-American,0
2021,Modoc,70 - 74 years,Multi-Race,0
2021,Modoc,70 - 74 years,Native American/Alaskan Native,6
2021,Modoc,70 - 74 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,70 - 74 years,Other/Unknown,0
2021,Modoc,75 - 79 years,Hispanic,6
2021,Modoc,75 - 79 years,White,6
2021,Modoc,75 - 79 years,Asian,0
2021,Modoc,75 - 79 years,Black/African-American,0
2021,Modoc,75 - 79 years,Multi-Race,0
2021,Modoc,75 - 79 years,Native American/Alaskan Native,6
2021,Modoc,75 - 79 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,75 - 79 years,Other/Unknown,0
2021,Modoc,80 - 84 years,Hispanic,0
2021,Modoc,80 - 84 years,White,6
2021,Modoc,80 - 84 years,Asian,0
2021,Modoc,80 - 84 years,Black/African-American,0
2021,Modoc,80 - 84 years,Multi-Race,0
2021,Modoc,80 - 84 years,Native American/Alaskan Native,6
2021,Modoc,80 - 84 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,80 - 84 years,Other/Unknown,0
2021,Modoc,85 - 89 years,Hispanic,0
2021,Modoc,85 - 89 years,White,6
2021,Modoc,85 - 89 years,Asian,0
2021,Modoc,85 - 89 years,Black/African-American,0
2021,Modoc,85 - 89 years,Multi-Race,0
2021,Modoc,85 - 89 years,Native American/Alaskan Native,0
2021,Modoc,85 - 89 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,85 - 89 years,Other/Unknown,0
2021,Modoc,90 - 94 years,Hispanic,6
2021,Modoc,90 - 94 years,White,6
2021,Modoc,90 - 94 years,Asian,0
2021,Modoc,90 - 94 years,Black/African-American,0
2021,Modoc,90 - 94 years,Multi-Race,0
2021,Modoc,90 - 94 years,Native American/Alaskan Native,0
2021,Modoc,90 - 94 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,90 - 94 years,Other/Unknown,0
2021,Modoc,95 - 99 years,Hispanic,0
2021,Modoc,95 - 99 years,White,6
2021,Modoc,95 - 99 years,Asian,0
2021,Modoc,95 - 99 years,Black/African-American,0
2021,Modoc,95 - 99 years,Multi-Race,0
2021,Modoc,95 - 99 years,Native American/Alaskan Native,0
2021,Modoc,95 - 99 years,Pacific Islander/Native Hawaiian,0
2021,Modoc,95 - 99 years,Other/Unknown,0
2021,Modoc,100 years and over,Hispanic,0
2021,Modoc,100 years and over,White,6
2021,Modoc,100 years and over,Asian,0
2021,Modoc,100 years and over,Black/African-American,0
2021,Modoc,100 years and over,Multi-Race,0
2021,Modoc,100 years and over,Native American/Alaskan Native,0
2021,Modoc,100 years and over,Pacific Islander/Native Hawaiian,0
2021,Modoc,100 years and over,Other/Unknown,0
2021,Mono,Less than 1 year,Hispanic,0
2021,Mono,Less than 1 year,White,0
2021,Mono,Less than 1 year,Asian,0
2021,Mono,Less than 1 year,Black/African-American,0
2021,Mono,Less than 1 year,Multi-Race,0
2021,Mono,Less than 1 year,Native American/Alaskan Native,0
2021,Mono,Less than 1 year,Pacific Islander/Native Hawaiian,0
2021,Mono,Less than 1 year,Other/Unknown,0
2021,Mono,1 - 4 years,Hispanic,0
2021,Mono,1 - 4 years,White,0
2021,Mono,1 - 4 years,Asian,0
2021,Mono,1 - 4 years,Black/African-American,0
2021,Mono,1 - 4 years,Multi-Race,0
2021,Mono,1 - 4 years,Native American/Alaskan Native,0
2021,Mono,1 - 4 years,Pacific Islander/Native Hawaiian,0
2021,Mono,1 - 4 years,Other/Unknown,0
2021,Mono,5 - 9 years,Hispanic,0
2021,Mono,5 - 9 years,White,0
2021,Mono,5 - 9 years,Asian,0
2021,Mono,5 - 9 years,Black/African-American,0
2021,Mono,5 - 9 years,Multi-Race,0
2021,Mono,5 - 9 years,Native American/Alaskan Native,0
2021,Mono,5 - 9 years,Pacific Islander/Native Hawaiian,0
2021,Mono,5 - 9 years,Other/Unknown,0
2021,Mono,10 - 14 years,Hispanic,0
2021,Mono,10 - 14 years,White,0
2021,Mono,10 - 14 years,Asian,0
2021,Mono,10 - 14 years,Black/African-American,0
2021,Mono,10 - 14 years,Multi-Race,0
2021,Mono,10 - 14 years,Native American/Alaskan Native,0
2021,Mono,10 - 14 years,Pacific Islander/Native Hawaiian,0
2021,Mono,10 - 14 years,Other/Unknown,0
2021,Mono,15 - 19 years,Hispanic,0
2021,Mono,15 - 19 years,White,0
2021,Mono,15 - 19 years,Asian,0
2021,Mono,15 - 19 years,Black/African-American,0
2021,Mono,15 - 19 years,Multi-Race,0
2021,Mono,15 - 19 years,Native American/Alaskan Native,0
2021,Mono,15 - 19 years,Pacific Islander/Native Hawaiian,0
2021,Mono,15 - 19 years,Other/Unknown,0
2021,Mono,20 - 24 years,Hispanic,0
2021,Mono,20 - 24 years,White,0
2021,Mono,20 - 24 years,Asian,0
2021,Mono,20 - 24 years,Black/African-American,0
2021,Mono,20 - 24 years,Multi-Race,0
2021,Mono,20 - 24 years,Native American/Alaskan Native,0
2021,Mono,20 - 24 years,Pacific Islander/Native Hawaiian,0
2021,Mono,20 - 24 years,Other/Unknown,0
2021,Mono,25 - 29 years,Hispanic,0
2021,Mono,25 - 29 years,White,0
2021,Mono,25 - 29 years,Asian,0
2021,Mono,25 - 29 years,Black/African-American,0
2021,Mono,25 - 29 years,Multi-Race,0
2021,Mono,25 - 29 years,Native American/Alaskan Native,0
2021,Mono,25 - 29 years,Pacific Islander/Native Hawaiian,0
2021,Mono,25 - 29 years,Other/Unknown,0
2021,Mono,30 - 34 years,Hispanic,0
2021,Mono,30 - 34 years,White,0
2021,Mono,30 - 34 years,Asian,0
2021,Mono,30 - 34 years,Black/African-American,0
2021,Mono,30 - 34 years,Multi-Race,0
2021,Mono,30 - 34 years,Native American/Alaskan Native,0
2021,Mono,30 - 34 years,Pacific Islander/Native Hawaiian,0
2021,Mono,30 - 34 years,Other/Unknown,0
2021,Mono,35 - 39 years,Hispanic,0
2021,Mono,35 - 39 years,White,6
2021,Mono,35 - 39 years,Asian,0
2021,Mono,35 - 39 years,Black/African-American,0
2021,Mono,35 - 39 years,Multi-Race,6
2021,Mono,35 - 39 years,Native American/Alaskan Native,0
2021,Mono,35 - 39 years,Pacific Islander/Native Hawaiian,0
2021,Mono,35 - 39 years,Other/Unknown,0
2021,Mono,40 - 44 years,Hispanic,6
2021,Mono,40 - 44 years,White,6
2021,Mono,40 - 44 years,Asian,0
2021,Mono,40 - 44 years,Black/African-American,0
2021,Mono,40 - 44 years,Multi-Race,0
2021,Mono,40 - 44 years,Native American/Alaskan Native,0
2021,Mono,40 - 44 years,Pacific Islander/Native Hawaiian,0
2021,Mono,40 - 44 years,Other/Unknown,0
2021,Mono,45 - 49 years,Hispanic,0
2021,Mono,45 - 49 years,White,0
2021,Mono,45 - 49 years,Asian,0
2021,Mono,45 - 49 years,Black/African-American,0
2021,Mono,45 - 49 years,Multi-Race,0
2021,Mono,45 - 49 years,Native American/Alaskan Native,0
2021,Mono,45 - 49 years,Pacific Islander/Native Hawaiian,0
2021,Mono,45 - 49 years,Other/Unknown,0
2021,Mono,50 - 54 years,Hispanic,0
2021,Mono,50 - 54 years,White,6
2021,Mono,50 - 54 years,Asian,0
2021,Mono,50 - 54 years,Black/African-American,0
2021,Mono,50 - 54 years,Multi-Race,0
2021,Mono,50 - 54 years,Native American/Alaskan Native,0
2021,Mono,50 - 54 years,Pacific Islander/Native Hawaiian,0
2021,Mono,50 - 54 years,Other/Unknown,0
2021,Mono,55 - 59 years,Hispanic,0
2021,Mono,55 - 59 years,White,6
2021,Mono,55 - 59 years,Asian,0
2021,Mono,55 - 59 years,Black/African-American,0
2021,Mono,55 - 59 years,Multi-Race,0
2021,Mono,55 - 59 years,Native American/Alaskan Native,0
2021,Mono,55 - 59 years,Pacific Islander/Native Hawaiian,0
2021,Mono,55 - 59 years,Other/Unknown,0
2021,Mono,60 - 64 years,Hispanic,0
2021,Mono,60 - 64 years,White,0
2021,Mono,60 - 64 years,Asian,0
2021,Mono,60 - 64 years,Black/African-American,0
2021,Mono,60 - 64 years,Multi-Race,0
2021,Mono,60 - 64 years,Native American/Alaskan Native,0
2021,Mono,60 - 64 years,Pacific Islander/Native Hawaiian,0
2021,Mono,60 - 64 years,Other/Unknown,0
2021,Mono,65 - 69 years,Hispanic,0
2021,Mono,65 - 69 years,White,6
2021,Mono,65 - 69 years,Asian,0
2021,Mono,65 - 69 years,Black/African-American,0
2021,Mono,65 - 69 years,Multi-Race,0
2021,Mono,65 - 69 years,Native American/Alaskan Native,0
2021,Mono,65 - 69 years,Pacific Islander/Native Hawaiian,0
2021,Mono,65 - 69 years,Other/Unknown,0
2021,Mono,70 - 74 years,Hispanic,0
2021,Mono,70 - 74 years,White,0
2021,Mono,70 - 74 years,Asian,0
2021,Mono,70 - 74 years,Black/African-American,0
2021,Mono,70 - 74 years,Multi-Race,0
2021,Mono,70 - 74 years,Native American/Alaskan Native,0
2021,Mono,70 - 74 years,Pacific Islander/Native Hawaiian,0
2021,Mono,70 - 74 years,Other/Unknown,0
2021,Mono,75 - 79 years,Hispanic,0
2021,Mono,75 - 79 years,White,0
2021,Mono,75 - 79 years,Asian,0
2021,Mono,75 - 79 years,Black/African-American,0
2021,Mono,75 - 79 years,Multi-Race,0
2021,Mono,75 - 79 years,Native American/Alaskan Native,0
2021,Mono,75 - 79 years,Pacific Islander/Native Hawaiian,0
2021,Mono,75 - 79 years,Other/Unknown,0
2021,Mono,80 - 84 years,Hispanic,0
2021,Mono,80 - 84 years,White,0
2021,Mono,80 - 84 years,Asian,0
2021,Mono,80 - 84 years,Black/African-American,0
2021,Mono,80 - 84 years,Multi-Race,0
2021,Mono,80 - 84 years,Native American/Alaskan Native,0
2021,Mono,80 - 84 years,Pacific Islander/Native Hawaiian,0
2021,Mono,80 - 84 years,Other/Unknown,0
2021,Mono,85 - 89 years,Hispanic,0
2021,Mono,85 - 89 years,White,6
2021,Mono,85 - 89 years,Asian,0
2021,Mono,85 - 89 years,Black/African-American,0
2021,Mono,85 - 89 years,Multi-Race,0
2021,Mono,85 - 89 years,Native American/Alaskan Native,0
2021,Mono,85 - 89 years,Pacific Islander/Native Hawaiian,0
2021,Mono,85 - 89 years,Other/Unknown,0
2021,Mono,90 - 94 years,Hispanic,0
2021,Mono,90 - 94 years,White,6
2021,Mono,90 - 94 years,Asian,0
2021,Mono,90 - 94 years,Black/African-American,0
2021,Mono,90 - 94 years,Multi-Race,0
2021,Mono,90 - 94 years,Native American/Alaskan Native,0
2021,Mono,90 - 94 years,Pacific Islander/Native Hawaiian,0
2021,Mono,90 - 94 years,Other/Unknown,0
2021,Mono,95 - 99 years,Hispanic,0
2021,Mono,95 - 99 years,White,0
2021,Mono,95 - 99 years,Asian,0
2021,Mono,95 - 99 years,Black/African-American,0
2021,Mono,95 - 99 years,Multi-Race,0
2021,Mono,95 - 99 years,Native American/Alaskan Native,0
2021,Mono,95 - 99 years,Pacific Islander/Native Hawaiian,0
2021,Mono,95 - 99 years,Other/Unknown,0
2021,Mono,100 years and over,Hispanic,0
2021,Mono,100 years and over,White,0
2021,Mono,100 years and over,Asian,0
2021,Mono,100 years and over,Black/African-American,0
2021,Mono,100 years and over,Multi-Race,0
2021,Mono,100 years and over,Native American/Alaskan Native,0
2021,Mono,100 years and over,Pacific Islander/Native Hawaiian,0
2021,Mono,100 years and over,Other/Unknown,0
2021,Monterey,Less than 1 year,Hispanic,6
2021,Monterey,Less than 1 year,White,6
2021,Monterey,Less than 1 year,Asian,0
2021,Monterey,Less than 1 year,Black/African-American,0
2021,Monterey,Less than 1 year,Multi-Race,0
2021,Monterey,Less than 1 year,Native American/Alaskan Native,0
2021,Monterey,Less than 1 year,Pacific Islander/Native Hawaiian,0
2021,Monterey,Less than 1 year,Other/Unknown,0
2021,Monterey,1 - 4 years,Hispanic,6
2021,Monterey,1 - 4 years,White,0
2021,Monterey,1 - 4 years,Asian,0
2021,Monterey,1 - 4 years,Black/African-American,0
2021,Monterey,1 - 4 years,Multi-Race,0
2021,Monterey,1 - 4 years,Native American/Alaskan Native,0
2021,Monterey,1 - 4 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,1 - 4 years,Other/Unknown,0
2021,Monterey,5 - 9 years,Hispanic,0
2021,Monterey,5 - 9 years,White,0
2021,Monterey,5 - 9 years,Asian,0
2021,Monterey,5 - 9 years,Black/African-American,0
2021,Monterey,5 - 9 years,Multi-Race,0
2021,Monterey,5 - 9 years,Native American/Alaskan Native,0
2021,Monterey,5 - 9 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,5 - 9 years,Other/Unknown,0
2021,Monterey,10 - 14 years,Hispanic,0
2021,Monterey,10 - 14 years,White,0
2021,Monterey,10 - 14 years,Asian,0
2021,Monterey,10 - 14 years,Black/African-American,0
2021,Monterey,10 - 14 years,Multi-Race,0
2021,Monterey,10 - 14 years,Native American/Alaskan Native,0
2021,Monterey,10 - 14 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,10 - 14 years,Other/Unknown,0
2021,Monterey,15 - 19 years,Hispanic,6
2021,Monterey,15 - 19 years,White,0
2021,Monterey,15 - 19 years,Asian,0
2021,Monterey,15 - 19 years,Black/African-American,0
2021,Monterey,15 - 19 years,Multi-Race,0
2021,Monterey,15 - 19 years,Native American/Alaskan Native,0
2021,Monterey,15 - 19 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,15 - 19 years,Other/Unknown,0
2021,Monterey,20 - 24 years,Hispanic,6
2021,Monterey,20 - 24 years,White,6
2021,Monterey,20 - 24 years,Asian,0
2021,Monterey,20 - 24 years,Black/African-American,0
2021,Monterey,20 - 24 years,Multi-Race,0
2021,Monterey,20 - 24 years,Native American/Alaskan Native,0
2021,Monterey,20 - 24 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,20 - 24 years,Other/Unknown,0
2021,Monterey,25 - 29 years,Hispanic,14
2021,Monterey,25 - 29 years,White,6
2021,Monterey,25 - 29 years,Asian,0
2021,Monterey,25 - 29 years,Black/African-American,0
2021,Monterey,25 - 29 years,Multi-Race,0
2021,Monterey,25 - 29 years,Native American/Alaskan Native,0
2021,Monterey,25 - 29 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,25 - 29 years,Other/Unknown,0
2021,Monterey,30 - 34 years,Hispanic,12
2021,Monterey,30 - 34 years,White,6
2021,Monterey,30 - 34 years,Asian,0
2021,Monterey,30 - 34 years,Black/African-American,6
2021,Monterey,30 - 34 years,Multi-Race,6
2021,Monterey,30 - 34 years,Native American/Alaskan Native,0
2021,Monterey,30 - 34 years,Pacific Islander/Native Hawaiian,6
2021,Monterey,30 - 34 years,Other/Unknown,0
2021,Monterey,35 - 39 years,Hispanic,13
2021,Monterey,35 - 39 years,White,6
2021,Monterey,35 - 39 years,Asian,0
2021,Monterey,35 - 39 years,Black/African-American,6
2021,Monterey,35 - 39 years,Multi-Race,0
2021,Monterey,35 - 39 years,Native American/Alaskan Native,0
2021,Monterey,35 - 39 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,35 - 39 years,Other/Unknown,0
2021,Monterey,40 - 44 years,Hispanic,16
2021,Monterey,40 - 44 years,White,6
2021,Monterey,40 - 44 years,Asian,6
2021,Monterey,40 - 44 years,Black/African-American,6
2021,Monterey,40 - 44 years,Multi-Race,6
2021,Monterey,40 - 44 years,Native American/Alaskan Native,0
2021,Monterey,40 - 44 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,40 - 44 years,Other/Unknown,0
2021,Monterey,45 - 49 years,Hispanic,24
2021,Monterey,45 - 49 years,White,6
2021,Monterey,45 - 49 years,Asian,6
2021,Monterey,45 - 49 years,Black/African-American,6
2021,Monterey,45 - 49 years,Multi-Race,6
2021,Monterey,45 - 49 years,Native American/Alaskan Native,0
2021,Monterey,45 - 49 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,45 - 49 years,Other/Unknown,0
2021,Monterey,50 - 54 years,Hispanic,30
2021,Monterey,50 - 54 years,White,13
2021,Monterey,50 - 54 years,Asian,6
2021,Monterey,50 - 54 years,Black/African-American,6
2021,Monterey,50 - 54 years,Multi-Race,0
2021,Monterey,50 - 54 years,Native American/Alaskan Native,6
2021,Monterey,50 - 54 years,Pacific Islander/Native Hawaiian,6
2021,Monterey,50 - 54 years,Other/Unknown,6
2021,Monterey,55 - 59 years,Hispanic,46
2021,Monterey,55 - 59 years,White,18
2021,Monterey,55 - 59 years,Asian,6
2021,Monterey,55 - 59 years,Black/African-American,6
2021,Monterey,55 - 59 years,Multi-Race,0
2021,Monterey,55 - 59 years,Native American/Alaskan Native,0
2021,Monterey,55 - 59 years,Pacific Islander/Native Hawaiian,6
2021,Monterey,55 - 59 years,Other/Unknown,0
2021,Monterey,60 - 64 years,Hispanic,46
2021,Monterey,60 - 64 years,White,31
2021,Monterey,60 - 64 years,Asian,6
2021,Monterey,60 - 64 years,Black/African-American,6
2021,Monterey,60 - 64 years,Multi-Race,6
2021,Monterey,60 - 64 years,Native American/Alaskan Native,0
2021,Monterey,60 - 64 years,Pacific Islander/Native Hawaiian,6
2021,Monterey,60 - 64 years,Other/Unknown,6
2021,Monterey,65 - 69 years,Hispanic,41
2021,Monterey,65 - 69 years,White,45
2021,Monterey,65 - 69 years,Asian,6
2021,Monterey,65 - 69 years,Black/African-American,6
2021,Monterey,65 - 69 years,Multi-Race,6
2021,Monterey,65 - 69 years,Native American/Alaskan Native,0
2021,Monterey,65 - 69 years,Pacific Islander/Native Hawaiian,6
2021,Monterey,65 - 69 years,Other/Unknown,6
2021,Monterey,70 - 74 years,Hispanic,46
2021,Monterey,70 - 74 years,White,63
2021,Monterey,70 - 74 years,Asian,13
2021,Monterey,70 - 74 years,Black/African-American,6
2021,Monterey,70 - 74 years,Multi-Race,6
2021,Monterey,70 - 74 years,Native American/Alaskan Native,0
2021,Monterey,70 - 74 years,Pacific Islander/Native Hawaiian,0
2021,Monterey,70 - 74 years,Other/Unknown,6
2021,Monterey,75 - 79 years,Hispanic,48
2021,Monterey,75 - 79 years,White,64
2021,Monterey,75 - 79 years,Asian,6
2021,Monterey,75 - 79 years,Black/African-American,6
2021,Monterey,75 - 79 years,Multi-Race,0
2021,Monterey,75 - 79 years,Native American/Alaskan Native,6
2021,Monterey,75 - 79 years,Pacific Islander/Native Hawaiian,6
2021,Monterey,75 - 79 years,Other/Unknown,0
2021,Monterey,80 - 84 years,Hispanic,38
2021,Monterey,80 - 84 years,White,82
2021,Monterey,80 - 84 years,Asian,6
2021,Monterey,80 - 84 years,Black/African-American,6
2021,Monterey,80 - 84 years,Multi-Race,0
2021,Monterey,80 - 84 years,Native American/Alaskan Native,0
2021,Monterey,80 - 84 years,Pacific Islander/Native Hawaiian,6
2021,Monterey,80 - 84 years,Other/Unknown,0
2021,Monterey,85 - 89 years,Hispanic,39
